airport,hour,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LFPG,6,1364,986.5373900293255,965.4409464200359,21.096443609289647,-6.327356160304873,219.35315122312687,145.82586030640238,220.28524546062835,429.5934534839816,66188903.897473626,0.00296817646082896
EDDM,21,894,1022.2125279642058,944.5833713716858,77.62915659252003,30.94829488172826,260.884078177737,187.58300335002974,272.0489990501738,532.7372731719878,66165528.14847611,0.0029671281982978845
EDDM,18,1414,797.8628005657708,774.3821921513309,23.48060841444002,9.764178818328702,213.79089642666258,123.3922808020007,215.0013071483152,313.53406858341737,65362944.774734624,0.002931137134274794
EDDM,11,1593,911.6660389202763,895.7153214058271,15.950717514449023,-3.6783114201903118,201.51628554957492,143.4081859646994,202.08351415918992,399.7714410632705,65054530.48501953,0.0029173065980215625
EGLL,6,1534,1079.3409387222946,1106.440696071715,-27.099757349420145,-39.38594807942388,202.76563692300834,143.9322599290832,204.50305279578063,380.47413514388467,64154178.85668574,0.002876931212536574
LEBL,20,1346,976.3046062407133,984.3190247845403,-8.014418543827116,-29.523137291855505,217.4924396362962,143.5636059277587,217.5592996046836,405.0565883438305,63708937.74467073,0.0028569648116709037
LEBL,8,1493,987.0629604822504,1017.1259207478272,-30.0629602655767,-37.86826081841832,204.15393921584808,139.63311353257535,206.28789667497958,417.43339646741697,63534161.59767846,0.002849127146822723
LTFM,0,514,1089.1964980544747,1093.397064634623,-4.200566580147942,-52.214292095756264,351.61429186045797,226.51358207345663,351.2972027073484,816.8576988895563,63432598.459824026,0.0028445726475438953
LEBL,21,961,1022.5098855359001,1020.8278986650726,1.6819868708275696,-21.770064271574256,255.96921834148046,184.24027113329808,255.84153413283983,531.3954694117156,62902149.85453469,0.0028207852002349295
EDDF,18,1416,867.3877118644068,863.3147908092575,4.0729210551492665,-13.416040295585105,209.91247054693216,119.71050244653165,209.87785939912015,299.45528576348335,62372981.66619489,0.002797055171967916
LEBL,18,1554,904.2644787644788,913.243157296854,-8.978678532375131,-30.206620399288965,199.68581828635013,132.56489975379918,199.82338069923364,386.2621050620879,62050261.91870612,0.0027825831214951567
EHAM,6,1915,781.7514360313315,772.3212839767037,9.430152054627838,2.2669108614468314,177.64348680795456,117.00922392719055,177.84728621224045,367.98975428166153,60570793.56300715,0.0027162378145124465
LFPG,5,1155,908.3177489177489,895.2244002868503,13.093348630898614,-15.416650235408952,228.54115257243143,146.6112643851462,228.81711584124264,452.88520725639444,60472649.73969988,0.0027118366510399763
LEMD,9,2168,1017.1240774907749,1033.743165994892,-16.619088504117254,-25.19415634609902,165.0986196800559,119.5640901180977,165.89507421969043,307.377401450936,59665908.809973106,0.0026756591454974847
LSZH,15,1235,669.5271255060728,680.0986085006726,-10.571482994599682,-30.971397743482612,219.51156629311652,116.23907131403871,219.67718936989513,297.0137062917215,59598713.39887911,0.002672645833208859
LEBL,7,1298,986.9537750385208,984.2067847014039,2.746990337116786,-8.215944985404292,213.8831932466576,136.6008477568493,213.81843428983134,382.0703616248512,59342383.049117096,0.0026611509501460093
EDDM,12,1056,899.405303030303,886.8814571843058,12.523845845997249,-7.872105094088738,236.7764860875576,148.41333059281655,236.99548733635189,488.17772455671206,59312205.23479144,0.002659797655668442
EDDM,20,1801,839.8534147695725,814.124088143449,25.729326626123537,4.180349049836764,178.7715157716534,127.41944296011029,180.56441459167647,370.19863408389074,58718917.57811953,0.002633192252748314
LSZH,11,1960,779.7627551020408,795.9700832990038,-16.207328196963164,-25.93910710187106,171.63282941820404,129.43625072241724,172.35276649138055,325.4619233402379,58222733.18977541,0.0026109413506334345
LEMD,5,1849,981.8777717685235,974.8464723607062,7.031299407817376,-13.197258567314634,177.30594093486096,125.71357194136554,177.3973886061568,358.5583467520417,58187722.112440765,0.0026093713132178896
