airport,bin,state
EDDF,5786790,1
EDDF,5786791,1
EDDF,5786792,1
EDDF,5786793,1
EDDF,5786794,1
EDDF,5786795,1
EDDF,5786796,1
EDDF,5786797,1
EDDF,5786798,1
EDDF,5786799,1
EDDF,5786800,1
EDDF,5786801,1
EDDF,5786802,1
EDDF,5786803,1
EDDF,5786804,1
EDDF,5786805,1
EDDF,5786806,1
EDDF,5786807,1
EDDF,5786808,1
EDDF,5786809,1
EDDF,5786810,1
EDDF,5786811,1
EDDF,5786812,1
EDDF,5786813,1
EDDF,5786814,1
EDDF,5786815,1
EDDF,5786816,1
EDDF,5786817,1
EDDF,5786818,1
EDDF,5786819,1
EDDF,5786820,1
EDDF,5786821,1
EDDF,5786822,1
EDDF,5786823,1
EDDF,5786824,1
EDDF,5786825,1
EDDF,5786826,1
EDDF,5786827,1
EDDF,5786828,1
EDDF,5786829,1
EDDF,5786830,1
EDDF,5786831,1
EDDF,5786832,1
EDDF,5786833,1
EDDF,5786834,1
EDDF,5786835,1
EDDF,5786836,1
EDDF,5786837,1
EDDF,5786838,1
EDDF,5786839,1
EDDF,5786840,3
EDDF,5786841,3
EDDF,5786842,3
EDDF,5786843,3
EDDF,5786844,3
EDDF,5786845,3
EDDF,5786846,3
EDDF,5786847,3
EDDF,5786848,3
EDDF,5786849,3
EDDF,5786850,3
EDDF,5786851,3
EDDF,5786852,3
EDDF,5786853,3
EDDF,5786854,3
EDDF,5786855,3
EDDF,5786856,3
EDDF,5786857,3
EDDF,5786858,3
EDDF,5786859,3
EDDF,5786860,3
EDDF,5786861,3
EDDF,5786862,3
EDDF,5786863,3
EDDF,5786864,3
EDDF,5786865,3
EDDF,5786866,3
EDDF,5786867,3
EDDF,5786868,3
EDDF,5786869,3
EDDF,5786870,3
EDDF,5786871,3
EDDF,5786872,3
EDDF,5786873,3
EDDF,5786874,3
EDDF,5786875,3
EDDF,5786876,3
EDDF,5786877,3
EDDF,5786878,3
EDDF,5786879,3
EDDF,5786880,3
EDDF,5786881,3
EDDF,5786882,1
EDDF,5786883,1
EDDF,5786884,3
EDDF,5786885,3
EDDF,5786886,3
EDDF,5786887,3
EDDF,5786888,3
EDDF,5786889,3
EDDF,5786890,3
EDDF,5786891,3
EDDF,5786892,3
EDDF,5786893,3
EDDF,5786894,3
EDDF,5786895,3
EDDF,5786896,2
EDDF,5786897,2
EDDF,5786898,2
EDDF,5786899,2
EDDF,5786900,2
EDDF,5786901,2
EDDF,5786902,2
EDDF,5786903,2
EDDF,5786904,2
EDDF,5786905,2
EDDF,5786906,2
EDDF,5786907,2
EDDF,5786908,2
EDDF,5786909,2
EDDF,5786910,2
EDDF,5786911,2
EDDF,5786912,2
EDDF,5786913,2
EDDF,5786914,2
EDDF,5786915,2
EDDF,5786916,2
EDDF,5786917,2
EDDF,5786918,2
EDDF,5786919,2
EDDF,5786920,2
EDDF,5786921,2
EDDF,5786922,2
EDDF,5786923,2
EDDF,5786924,2
EDDF,5786925,2
EDDF,5786926,2
EDDF,5786927,2
EDDF,5786928,2
EDDF,5786929,2
EDDF,5786930,2
EDDF,5786931,2
EDDF,5786932,2
EDDF,5786933,2
EDDF,5786934,2
EDDF,5786935,2
EDDF,5786936,2
EDDF,5786937,2
EDDF,5786938,2
EDDF,5786939,2
EDDF,5786940,2
